ala,val,leu,ile,pro,cys,met,gly,trp,phe,lys,arg,his,tyr,thr,glu,gln,asp,asn,ser,AGORA2
0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,Abiotrophia_defectiva_ATCC_49176
1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,Acaricomes_phytoseiuli_DSM_14247
1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,Acaryochloris_marina_MBIC11017
1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,Acetanaerobacterium_elongatum_CGMCC_1_5012
0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,Acetatifactor_muris_GP69
0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,Acetivibrio_cellulolyticus_CD2
0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,Acetivibrio_ethanolgignens_ACET_33324
1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,Acetobacterium_wieringae_DSM_1911
1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,Acetonema_longum_DSM_6540
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Achromobacter_insuavis_AXX_A
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Achromobacter_xylosoxidans_A8
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Achromobacter_xylosoxidans_ERR2221244
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Achromobacter_xylosoxidans_ERR2221245
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Achromobacter_xylosoxidans_ERR2221246
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Achromobacter_xylosoxidans_ERR2221247
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Achromobacter_xylosoxidans_NBRC_15126
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Achromobacter_xylosoxidans_NCTC10807
1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,Acidaminobacter_hydrogenoformans_DSM_2784
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,Acidaminococcus_fermentans_DSM_20731
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Acidaminococcus_intestini_RyC_MR95
1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,Acidaminococcus_massiliensis_Marseille_P2828
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Acidaminococcus_sp_BV3L6
1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,Acidaminococcus_sp_D21
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Acidaminococcus_sp_HPA0509
1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,Acidobacterium_ailaaui_PMMR2
1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,Acidobacterium_capsulatum_ATCC_51196
1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,Acidovorax_caeni_R_24608
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_1656_2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_3990
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_48055
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_53264
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_6013113
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_6013150
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_6014059
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AA_014
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_1536_8
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_1582_8
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_1594_8
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_1595_8
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_1649_8
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_1650_8
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_1766_8
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_2007_09_110_01_7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_2007_16_25_01_7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_2007_16_27_01
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_2008_15_34_7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_2008_15_45
